name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Thiago Moises,18,7,175.26,70.3,177.8,1.0,29.0,2.47,0.4,4.19,0.55,1.64,0.44,0.56,1.3,2256
Mitch Ramirez,8,2,180.34,70.3,180.34,1.0,31.0,2.37,0.42,3.34,0.36,0.91,1.0,0.0,0.0,1715
Charalampos Grigoriou,8,4,170.18,61.2,170.18,1.0,31.0,2.13,0.4,5.56,0.46,3.75,0.8,1.0,0.0,380
Chad Anheliger,13,7,167.64,61.2,162.56,1.0,37.0,3.6,0.45,3.11,0.53,0.82,0.3,0.42,0.6,371
Sean O'Malley,18,1,180.34,61.2,182.88,3.0,29.0,7.63,0.61,3.52,0.62,0.35,0.42,0.62,0.3,2112
Marlon Vera,23,9,172.72,61.2,177.8,3.0,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9,1581
Dustin Poirier,30,8,175.26,70.3,182.88,2.0,35.0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4,688
Benoit Saint Denis,13,2,180.34,70.3,185.42,2.0,28.0,5.7,0.54,4.98,0.42,4.76,0.37,0.69,1.5,231
Kevin Holland,25,11,190.5,77.1,205.74,1.0,31.0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6,1370
Michael Page,22,2,190.5,77.1,200.66,3.0,36.0,3.14,0.69,1.6,0.55,0.77,0.25,0.66,0.0,1654
Gilbert Burns,22,7,177.8,77.1,180.34,1.0,37.0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5,850
Jack Della Maddalena,17,2,180.34,77.1,185.42,3.0,27.0,6.74,0.53,4.27,0.66,0.21,0.16,0.7,0.2,967
Petr Yan,17,5,170.18,61.2,170.18,3.0,31.0,5.14,0.53,4.36,0.58,1.73,0.51,0.85,0.1,1870
Song Yadong,21,8,172.72,61.2,170.18,1.0,26.0,4.49,0.43,3.96,0.55,0.66,0.4,0.72,0.2,2174
Curtis Blaydes,18,4,193.04,120.2,203.2,1.0,33.0,3.53,0.5,1.83,0.59,5.72,0.53,0.31,0.0,501
Jailton Almeida,20,3,190.5,93.0,200.66,1.0,32.0,2.54,0.64,0.74,0.4,6.88,0.59,0.75,2.2,982
Katlyn Cerminara,18,6,175.26,56.7,172.72,1.0,35.0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3,1332
Maycee Barber,14,2,165.1,56.7,165.1,3.0,25.0,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1,1632
Mateusz Gamrot,24,2,177.8,70.3,177.8,2.0,33.0,3.09,0.51,3.07,0.59,5.28,0.35,0.9,0.1,1597
Rafael Dos Anjos,32,16,172.72,70.3,177.8,2.0,39.0,3.48,0.47,3.21,0.6,1.95,0.35,0.55,0.6,1896
Pedro Munhoz,20,9,167.64,61.2,165.1,1.0,37.0,5.32,0.43,6.23,0.56,0.51,0.18,0.82,0.5,1860
Kyler Phillips,12,2,172.72,61.2,182.88,1.0,28.0,5.72,0.45,3.38,0.61,2.41,0.46,0.75,0.5,1416
Ion Cutelaba,17,10,185.42,93.0,190.5,2.0,30.0,4.44,0.43,3.43,0.47,4.17,0.57,0.76,0.0,943
Philipe Lins,18,5,187.96,93.0,198.12,1.0,38.0,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0,1878
Michel Pereira,30,11,185.42,83.9,185.42,1.0,30.0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7,1661
Michal Oleksiejczuk,19,7,182.88,83.9,187.96,2.0,29.0,5.06,0.5,4.26,0.61,0.75,0.44,0.48,0.0,1658
Robelis Despaigne,5,0,200.66,120.2,213.36,1.0,35.0,23.33,0.77,6.67,0.6,0.0,0.0,0.0,0.0,1978
Josh Parisian,15,8,193.04,120.2,200.66,1.0,34.0,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2,1253
CJ Vergara,12,5,167.64,56.7,172.72,1.0,32.0,5.24,0.57,4.62,0.52,0.0,0.0,0.6,0.2,326
Asu Almabayev,19,2,162.56,56.7,165.1,1.0,30.0,3.02,0.59,1.42,0.53,7.12,0.57,0.0,1.3,195
Joanne Wood,17,8,167.64,56.7,165.1,1.0,38.0,7.1,0.51,4.89,0.51,1.52,0.55,0.58,0.3,1123
Maryna Moroz,11,6,170.18,56.7,170.18,1.0,32.0,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6,1591
Jairzinho Rozenstruik,14,5,187.96,109.8,198.12,1.0,36.0,3.44,0.49,2.78,0.47,0.0,0.0,0.75,0.0,983
Shamil Gaziev,12,1,193.04,120.2,198.12,1.0,34.0,2.63,0.44,4.73,0.42,0.53,0.14,1.0,0.5,2137
Vitor Petrino,11,0,187.96,93.0,195.58,1.0,26.0,2.74,0.45,2.49,0.45,3.86,0.68,0.71,0.8,2382
Tyson Pedro,10,5,190.5,93.0,200.66,1.0,32.0,2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8,2341
Alex Perez,24,8,167.64,56.7,165.1,1.0,32.0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1.0,71
Muhammad Mokaev,12,0,170.18,56.7,177.8,1.0,23.0,1.53,0.48,1.36,0.57,5.75,0.41,0.0,1.0,1732
Umar Nurmagomedov,17,0,172.72,61.2,175.26,1.0,28.0,4.75,0.69,0.56,0.76,4.51,0.56,1.0,0.6,2343
Bekzat Almakhan,11,2,170.18,61.2,172.72,1.0,26.0,0.2,0.18,4.53,0.3,0.0,0.0,0.0,0.0,217
Matt Schnell,16,8,172.72,56.7,177.8,1.0,34.0,4.23,0.38,4.56,0.55,0.59,0.44,0.5,1.0,1616
Steve Erceg,12,1,172.72,56.7,172.72,1.0,28.0,4.57,0.48,3.64,0.55,1.69,0.3,0.77,0.8,2189
Eryk Anders,16,8,185.42,83.9,190.5,2.0,36.0,3.41,0.47,4.17,0.5,1.79,0.26,0.79,0.1,750
