name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Daniel Pineda,28,15,170.18,65.8,175.26,1.0,38.0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7,544
Jesse Butler,12,5,177.8,65.8,185.42,1.0,31.0,2.61,0.14,7.83,0.4,0.0,0.0,0.0,0.0,1089
Ketlen Souza,13,4,160.02,52.2,160.02,1.0,29.0,0.0,0.0,1.71,0.7,0.0,0.0,0.0,0.0,1362
Abubakar Nurmagomedov,17,4,180.34,77.1,182.88,1.0,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,16
Elizeu Zaleski dos Santos,24,7,180.34,77.1,185.42,1.0,37.0,4.52,0.42,3.33,0.57,0.43,0.13,0.68,0.4,723
Daniel Santos,12,2,170.18,61.2,170.18,1.0,29.0,4.26,0.37,5.12,0.5,1.9,0.5,0.73,0.0,547
Luan Lacerda,12,3,170.18,61.2,180.34,1.0,31.0,4.52,0.44,7.07,0.47,1.26,0.25,0.75,0.6,1467
Maxim Grishin,32,10,190.5,93.0,198.12,1.0,39.0,3.26,0.52,2.27,0.58,0.21,0.16,0.66,0.0,1630
Diego Ferreira,18,5,175.26,70.3,187.96,1.0,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7,641
Maheshate,9,3,182.88,70.3,180.34,1.0,24.0,2.91,0.26,4.86,0.49,0.0,0.0,0.45,0.0,1506
Viacheslav Borshchev,7,3,180.34,70.3,175.26,1.0,32.0,5.82,0.58,4.07,0.56,0.0,0.0,0.36,0.0,2359
Orion Cosce,8,2,180.34,77.1,180.34,3.0,29.0,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0,1815
Ilir Latifi,17,9,177.8,104.3,185.42,1.0,41.0,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3,941
Nick Fiore,6,2,177.8,70.3,182.88,1.0,26.0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0,1773
Victoria Leonardo,9,6,165.1,56.7,162.56,1.0,34.0,3.27,0.39,4.7,0.46,1.6,0.27,0.71,0.0,2366
Takashi Sato,16,7,177.8,77.1,185.42,2.0,33.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0,2227
Daniel Rodriguez,17,4,185.42,77.1,187.96,2.0,37.0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1,546
Matt Brown,26,19,182.88,77.1,190.5,1.0,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,1604
Court McGee,22,12,180.34,77.1,190.5,1.0,39.0,4.63,0.37,3.68,0.6,1.89,0.25,0.69,0.4,490
Chase Sherman,16,12,193.04,113.4,198.12,1.0,34.0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0,396
Cody Stamann,21,6,167.64,61.2,162.56,1.0,34.0,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0.0,470
Douglas Silva de Andrade,29,5,170.18,61.2,172.72,1.0,38.0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2,672
Ji Yeon Kim,9,7,170.18,56.7,182.88,1.0,34.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,1105
Mandy Bohm,8,2,170.18,56.7,180.34,1.0,34.0,2.51,0.45,3.24,0.6,0.72,0.18,0.75,0.7,1516
Gabe Green,11,5,177.8,70.3,185.42,3.0,30.0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,808
Jessica-Rose Clark,11,9,165.1,61.2,162.56,1.0,36.0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3,1101
Belal Muhammad,23,3,180.34,77.1,182.88,1.0,35.0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2,218
Yan Xiaonan,17,3,165.1,52.2,160.02,1.0,34.0,5.55,0.44,3.56,0.61,0.86,0.66,0.7,0.0,2422
Kron Gracie,5,2,175.26,65.8,177.8,2.0,35.0,3.74,0.44,6.82,0.53,0.47,0.25,0.0,0.5,1400
Khaos Williams,14,3,182.88,77.1,195.58,1.0,29.0,5.77,0.39,5.33,0.42,0.0,0.0,0.8,0.0,1385
Virna Jandiroba,19,3,160.02,52.2,162.56,1.0,35.0,2.34,0.4,3.03,0.56,2.42,0.39,0.73,1.0,2378
Braxton Smith,5,2,180.34,116.6,182.88,1.0,34.0,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0,282
Joseph Holmes,8,4,193.04,83.9,203.2,1.0,28.0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8,1237
Trey Waters,8,1,195.58,77.1,195.58,1.0,29.0,6.45,0.45,3.95,0.61,0.78,0.5,0.77,0.8,2329
Journey Newson,10,5,165.1,61.2,170.18,1.0,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,1267
Hailey Cowan,7,3,172.72,61.2,170.18,2.0,32.0,2.97,0.42,3.17,0.34,1.5,0.33,0.8,0.0,881
Brogan Walker,8,4,162.56,56.7,170.18,3.0,35.0,2.04,0.3,3.7,0.47,0.0,0.0,0.11,0.0,309
Rani Yahya,28,11,167.64,61.2,170.18,1.0,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,1913
Montel Jackson,13,2,177.8,61.2,190.5,2.0,31.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,1723
Brady Hiestand,8,2,172.72,61.2,180.34,1.0,24.0,2.93,0.52,3.65,0.53,4.06,0.46,0.42,0.3,272
Batgerel Danaa,12,5,170.18,61.2,177.8,1.0,34.0,5.38,0.36,4.21,0.47,0.52,0.5,0.62,0.0,214
Azamat Murzakanov,13,0,177.8,93.0,180.34,2.0,34.0,4.57,0.57,3.12,0.57,0.75,0.16,0.83,0.0,205
Rafa Garcia,16,3,170.18,70.3,177.8,1.0,29.0,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3,1892
Matheus Nicolau,19,4,167.64,56.7,167.64,1.0,31.0,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9,1599
Zak Cummings,25,7,182.88,93.0,190.5,2.0,39.0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,2459
Ed Herman,27,16,185.42,93.0,195.58,1.0,43.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,694
Piera Rodriguez,9,1,160.02,52.2,160.02,1.0,31.0,3.46,0.46,2.98,0.57,3.31,0.41,0.66,0.0,1881
Lando Vannata,12,7,175.26,70.3,180.34,1.0,32.0,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3,1421
Aaron Phillips,12,5,175.26,61.2,180.34,2.0,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,5
Jorge Masvidal,35,17,180.34,77.1,187.96,1.0,39.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,1223
Santiago Ponzinibbio,30,7,182.88,77.1,185.42,1.0,37.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,2086
Cynthia Calvillo,9,6,162.56,52.2,162.56,1.0,36.0,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8,504
Shayilan Nuerdanbieke,39,11,172.72,65.8,175.26,1.0,29.0,2.28,0.45,2.94,0.5,2.9,0.33,0.4,0.0,2155
Holly Holm,15,6,172.72,61.2,175.26,2.0,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1,907
Steven Peterson,19,11,177.8,65.8,177.8,1.0,33.0,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7,2202
Gunnar Nelson,19,5,180.34,77.1,182.88,3.0,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,875
Jack Shore,17,1,172.72,65.8,180.34,1.0,29.0,3.84,0.58,2.2,0.57,3.42,0.4,0.79,0.7,974
Makwan Amirkhani,17,9,177.8,65.8,182.88,2.0,35.0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,1512
Omar Morales,11,4,180.34,70.3,185.42,1.0,38.0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,1812
Dusko Todorovic,12,4,185.42,83.9,187.96,1.0,29.0,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0.0,681
Nikita Krylov,30,9,190.5,93.0,195.58,1.0,32.0,4.38,0.55,2.47,0.44,2.29,0.38,0.53,1.4,1787
Guido Cannetti,10,8,167.64,61.2,172.72,2.0,44.0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4,873
Raphael Assuncao,28,10,165.1,61.2,167.64,1.0,41.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,1915
Victor Henry,23,6,170.18,61.2,172.72,3.0,36.0,8.26,0.54,5.95,0.47,0.0,0.0,0.78,0.6,2362
Tony Gravely,23,9,165.1,61.2,175.26,1.0,32.0,3.82,0.48,4.47,0.44,5.4,0.41,0.52,0.3,2306
Bruno Silva,13,5,162.56,56.7,165.1,1.0,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3,315
Jon Jones,27,1,193.04,112.5,213.36,1.0,36.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,1198
Valentina Shevchenko,23,4,165.1,56.7,167.64,2.0,36.0,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,2349
Alexa Grasso,16,3,165.1,56.7,167.64,1.0,30.0,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,79
Trevin Jones,13,10,170.18,61.2,177.8,2.0,33.0,2.13,0.37,4.29,0.39,0.62,0.15,0.6,0.2,2324
Derek Brunson,23,9,185.42,83.9,195.58,2.0,40.0,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6,628
Julian Marquez,9,4,187.96,83.9,182.88,1.0,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6,1275
Mana Martinez,10,4,177.8,61.2,177.8,1.0,28.0,4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5,1515
Jessica Penne,14,8,165.1,52.2,170.18,1.0,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6,1099
Augusto Sakai,16,5,190.5,120.2,195.58,1.0,32.0,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0,198
Erick Gonzalez,14,8,180.34,70.3,190.5,1.0,32.0,2.4,0.36,8.08,0.4,6.0,0.55,0.5,0.0,740
Victor Martinez,13,5,172.72,70.3,177.8,1.0,32.0,8.65,0.5,7.45,0.54,0.86,0.5,0.8,0.0,2363
Rafael Alves,20,12,172.72,70.3,172.72,1.0,33.0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,1893
Nurullo Aliev,9,0,177.8,70.3,182.88,1.0,23.0,2.5,0.51,0.46,0.59,3.06,0.44,0.0,0.0,1804
Jordan Wright,12,5,187.96,93.0,195.58,1.0,32.0,4.1,0.56,6.03,0.31,2.09,0.45,1.0,0.4,1220
William Knight,11,5,177.8,93.0,185.42,1.0,35.0,2.62,0.56,3.3,0.35,1.78,0.4,0.48,0.4,2412
Lina Lansberg,10,8,170.18,61.2,165.1,1.0,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,1451
Khusein Askhabov,23,1,172.72,65.8,175.26,1.0,29.0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,1386
Clayton Carpenter,7,0,167.64,56.7,167.64,1.0,27.0,4.5,0.51,2.85,0.6,2.47,0.5,0.0,2.5,459
Juancamilo Ronderos,4,2,160.02,56.7,162.56,2.0,29.0,2.18,0.3,2.18,0.63,2.72,0.33,0.0,0.0,1271
Don Shainis,12,5,167.64,65.8,170.18,1.0,33.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9,661
Zubaira Tukhugov,20,6,172.72,70.3,172.72,1.0,33.0,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0,2470
Yizha,25,4,170.18,65.8,180.34,1.0,27.0,2.82,0.44,2.2,0.54,4.55,0.32,0.59,1.4,2431
SeungGuk Choi,7,3,167.64,56.7,162.56,1.0,27.0,2.69,0.42,2.69,0.65,1.02,0.27,0.74,0.0,2132
Glover Teixeira,33,9,187.96,93.0,193.04,1.0,44.0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9,860
Jamahal Hill,12,1,193.04,93.0,200.66,2.0,32.0,7.31,0.54,3.35,0.47,0.0,0.0,0.73,0.0,994
Lauren Murphy,16,6,165.1,56.7,170.18,1.0,40.0,4.05,0.39,5.25,0.55,1.03,0.25,0.69,0.1,1428
Mauricio Rua,27,14,185.42,93.0,193.04,1.0,42.0,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7,1626
Mounir Lazzez,11,3,185.42,77.1,193.04,1.0,36.0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0.0,1730
Shamil Abdurakhimov,20,8,190.5,106.6,193.04,1.0,42.0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,2135
Saimon Oliveira,18,5,162.56,61.2,182.88,1.0,32.0,2.82,0.41,3.91,0.48,1.21,0.25,0.35,1.6,2072
Allan Nascimento,20,6,172.72,56.7,175.26,1.0,32.0,3.21,0.61,2.28,0.5,1.55,0.26,0.16,0.9,99
Dan Argueta,9,1,170.18,61.2,172.72,2.0,30.0,2.35,0.47,1.9,0.52,2.54,0.5,0.6,1.9,522
Cheyanne Vlismas,7,3,160.02,52.2,160.02,3.0,28.0,4.93,0.5,2.57,0.64,0.25,0.33,0.66,0.2,401
Saidyokub Kakhramonov,10,3,172.72,61.2,175.26,1.0,28.0,2.05,0.51,0.88,0.58,6.63,0.48,0.83,1.9,2071
Sergey Morozov,19,5,167.64,61.2,170.18,1.0,34.0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0,2125
Darren Till,18,5,182.88,83.9,187.96,2.0,31.0,2.3,0.46,3.31,0.56,0.55,0.46,0.69,0.0,578
Jay Perrin,10,7,170.18,61.2,170.18,3.0,30.0,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0,1059
Dalcha Lungiambula,11,6,172.72,83.9,193.04,1.0,36.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0,513
Steven Koslow,6,1,170.18,56.7,175.26,3.0,27.0,0.77,0.37,3.73,0.4,5.28,0.55,0.0,1.1,2200
Kyle Daukaus,11,4,190.5,83.9,193.04,2.0,31.0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9,1409
Scott Holtzman,14,6,175.26,70.3,175.26,1.0,40.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2,2101
Marcelo Rojo,16,10,172.72,65.8,180.34,1.0,35.0,4.92,0.39,6.42,0.55,0.46,0.5,0.66,0.0,1533
Vince Morales,11,7,175.26,61.2,177.8,1.0,33.0,4.17,0.37,4.24,0.53,0.14,0.25,0.64,0.0,2372
Ricky Turcios,13,3,175.26,61.2,180.34,1.0,30.0,5.08,0.37,3.7,0.55,1.0,0.25,0.45,0.2,1964
Kevin Natividad,9,4,167.64,61.2,177.8,1.0,30.0,2.68,0.34,4.29,0.47,3.66,0.5,0.83,0.0,1375
Carla Esparza,20,7,154.94,52.2,160.02,1.0,36.0,2.16,0.4,2.69,0.55,3.22,0.35,0.47,0.3,344
Michael Chandler,23,8,172.72,70.3,180.34,1.0,37.0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,1646
Frankie Edgar,23,11,167.64,61.2,172.72,1.0,42.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,802
Brad Riddell,10,4,170.18,70.3,180.34,1.0,32.0,4.71,0.53,3.53,0.53,1.77,0.36,0.63,0.0,269
Dominick Reyes,12,4,193.04,93.0,195.58,2.0,34.0,4.75,0.5,3.77,0.48,0.36,0.28,0.8,0.4,657
Silvana Gomez Juarez,11,5,160.02,52.2,165.1,1.0,39.0,4.26,0.32,4.04,0.61,0.0,0.0,0.3,0.0,2165
Michael Trizano,11,3,180.34,65.8,180.34,1.0,32.0,3.63,0.53,4.4,0.5,0.36,0.66,0.72,0.5,1656
Julio Arce,18,6,170.18,65.8,177.8,2.0,34.0,4.38,0.36,3.1,0.68,0.49,0.3,0.95,0.4,1282
Nicolae Negumereanu,13,2,182.88,93.0,198.12,1.0,29.0,3.58,0.41,5.56,0.39,1.02,0.28,0.62,0.0,1784
Darrick Minner,26,14,170.18,65.8,175.26,1.0,33.0,2.63,0.65,2.28,0.35,2.4,0.72,0.66,2.7,580
Shanna Young,9,6,170.18,56.7,165.1,1.0,33.0,3.18,0.47,4.88,0.43,0.0,0.0,0.53,0.6,2148
Benito Lopez,10,2,177.8,61.2,185.42,3.0,29.0,4.39,0.45,5.18,0.56,0.0,0.0,0.73,0.3,229
Liudvik Sholinian,9,4,177.8,61.2,180.34,1.0,34.0,2.5,0.3,5.67,0.55,0.0,0.0,0.66,0.0,1453
Carlos Candelario,8,3,172.72,56.7,172.72,2.0,32.0,3.97,0.46,5.17,0.44,2.28,0.36,0.53,0.3,348
Ramona Pascual,6,5,170.18,61.2,167.64,2.0,35.0,3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0,1907
Calvin Kattar,23,7,180.34,65.8,182.88,1.0,36.0,5.12,0.39,7.1,0.54,0.42,0.29,0.91,0.1,336
Jared Vanderaa,12,10,193.04,120.2,203.2,1.0,31.0,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0.0,1028
Tresean Gore,5,2,182.88,83.9,190.5,3.0,29.0,3.04,0.53,6.13,0.47,3.04,0.71,0.81,1.2,2322
Carlos Mota,8,2,162.56,56.7,175.26,1.0,28.0,0.8,0.41,1.13,0.54,0.0,0.0,0.5,1.0,354
Joshua Weems,11,3,172.72,61.2,175.26,1.0,29.0,5.25,0.64,3.34,0.61,4.77,0.4,1.0,0.0,1265
TJ Dillashaw,18,5,167.64,61.2,170.18,1.0,38.0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8,2213
Gadzhi Omargadzhiev,13,2,185.42,77.1,180.34,3.0,31.0,1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5,817
Misha Cirkunov,15,9,190.5,93.0,195.58,1.0,37.0,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7,1712
Brandon Davis,14,10,177.8,61.2,182.88,1.0,33.0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,274
Nick Maximov,8,2,182.88,83.9,193.04,2.0,26.0,1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2,1775
Mike Jackson,1,2,187.96,77.1,187.96,1.0,39.0,4.49,0.57,3.73,0.62,0.71,0.33,0.88,0.0,1680
Francisco Trinaldo,28,9,175.26,77.1,177.8,2.0,45.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,794
Aleksei Oleinik,60,17,187.96,108.9,203.2,1.0,46.0,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9,54
Jesse Ronson,21,12,177.8,70.3,177.8,2.0,38.0,3.54,0.47,3.39,0.57,0.46,0.28,0.57,0.5,1092
Krzysztof Jotko,24,6,185.42,83.9,195.58,2.0,34.0,2.98,0.42,2.23,0.57,1.33,0.39,0.82,0.1,1401
Randy Costa,6,4,175.26,61.2,185.42,3.0,29.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,1911
Alen Amedovski,8,4,177.8,83.9,187.96,1.0,35.0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,55
Louis Cosce,7,2,175.26,77.1,180.34,1.0,28.0,4.31,0.45,5.35,0.47,1.04,0.2,0.5,0.5,1462
Mariya Agapova,10,4,167.64,56.7,172.72,2.0,26.0,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9,1561
Cameron VanCamp,15,7,187.96,70.3,187.96,3.0,30.0,5.31,0.47,6.41,0.4,0.0,0.0,0.0,0.0,340
Nate Diaz,22,13,182.88,77.1,193.04,2.0,38.0,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3,1750
Li Jingliang,19,8,182.88,77.1,180.34,1.0,36.0,4.46,0.42,3.84,0.57,1.25,0.41,0.6,0.0,1447
Chris Barnett,23,8,175.26,120.2,190.5,1.0,37.0,4.41,0.48,5.87,0.4,0.0,0.0,0.33,0.0,405
Danyelle Wolf,1,1,180.34,65.8,177.8,1.0,40.0,2.37,0.25,4.57,0.47,0.0,0.0,0.77,0.5,568
Melissa Martinez,7,1,157.48,52.2,167.64,2.0,26.0,3.0,0.57,2.53,0.45,1.0,0.5,0.0,0.0,1639
Darian Weeks,5,3,180.34,77.1,182.88,1.0,30.0,4.49,0.51,4.56,0.51,2.0,0.3,1.0,0.0,570
Alessio Di Chirico,13,7,182.88,83.9,187.96,1.0,34.0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,57
Michal Figlak,8,1,177.8,70.3,177.8,1.0,27.0,1.87,0.29,4.0,0.44,1.0,0.2,0.57,0.0,1657
Khalid Taha,13,5,165.1,61.2,175.26,1.0,32.0,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2,1381
Luke Rockhold,16,6,190.5,83.9,195.58,2.0,39.0,4.1,0.49,2.68,0.53,0.7,0.29,0.65,1.0,1492
Jose Aldo,31,8,170.18,61.2,177.8,1.0,37.0,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1,1228
Wu Yanan,13,6,172.72,61.2,167.64,1.0,27.0,4.23,0.41,4.95,0.49,0.62,0.3,0.63,0.2,2417
Harry Hunsucker,7,6,187.96,93.0,190.5,1.0,35.0,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0,887
Leonardo Santos,18,7,182.88,70.3,190.5,1.0,44.0,2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2,1442
Francisco Figueiredo,13,5,167.64,56.7,172.72,2.0,34.0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4,790
Dominick Cruz,24,4,172.72,61.2,172.72,1.0,39.0,3.91,0.33,2.61,0.7,2.82,0.42,0.83,0.1,656
Nina Nunes,11,7,165.1,56.7,162.56,1.0,38.0,4.39,0.45,3.47,0.55,0.24,0.33,0.73,0.5,1792
Charlie Ontiveros,11,9,187.96,70.3,187.96,3.0,32.0,1.89,0.41,5.86,0.31,0.0,0.0,0.3,0.0,390
Jason Witt,19,9,177.8,77.1,177.8,1.0,37.0,2.15,0.44,2.54,0.52,6.9,0.48,1.0,0.9,1053
Thiago Santos,22,11,187.96,93.0,193.04,1.0,40.0,3.72,0.48,2.57,0.53,0.88,0.33,0.65,0.1,2258
Sam Alvey,33,18,187.96,83.9,190.5,2.0,37.0,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1,2076
Miranda Granger,7,3,170.18,52.2,172.72,1.0,31.0,2.79,0.47,2.57,0.57,0.0,0.0,0.33,0.0,1708
Julianna Pena,12,5,167.64,61.2,175.26,1.0,34.0,3.16,0.47,2.3,0.5,1.94,0.55,0.23,0.8,1279
Alexander Gustafsson,18,8,195.58,93.0,200.66,1.0,37.0,4.03,0.4,3.53,0.51,1.53,0.39,0.83,0.4,80
Mason Jones,11,2,177.8,70.3,187.96,1.0,28.0,5.61,0.44,4.94,0.46,3.16,0.45,0.8,0.0,1594
Damir Hadzovic,14,7,175.26,70.3,177.8,1.0,37.0,3.36,0.48,3.26,0.62,0.78,0.55,0.34,0.2,519
Charles Rosa,14,8,175.26,65.8,175.26,3.0,37.0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1.0,387
Claudio Silva,14,4,180.34,77.1,180.34,2.0,41.0,2.48,0.42,3.0,0.46,2.85,0.26,0.44,1.1,455
Shane Burgos,15,3,180.34,65.8,190.5,1.0,33.0,7.4,0.52,6.78,0.56,0.43,0.44,0.91,0.4,2139
Herbert Burns,11,4,175.26,65.8,185.42,1.0,36.0,1.61,0.51,4.74,0.3,3.92,0.75,0.6,3.3,904
Dwight Grant,11,6,185.42,83.9,193.04,3.0,39.0,3.29,0.36,2.66,0.6,0.61,1.0,0.66,0.0,691
Antonina Shevchenko,10,4,172.72,56.7,170.18,2.0,39.0,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4,166
Cortney Casey,10,10,170.18,56.7,170.18,1.0,36.0,4.29,0.39,4.0,0.55,0.39,0.31,0.39,0.5,485
Karl Roberson,9,6,185.42,93.0,187.96,2.0,33.0,2.57,0.51,2.42,0.57,0.72,0.4,0.42,0.5,1326
Ronnie Lawrence,8,2,172.72,61.2,172.72,3.0,31.0,2.78,0.56,1.75,0.52,6.75,0.77,0.45,0.2,2024
Donald Cerrone,36,17,185.42,70.3,185.42,1.0,40.0,4.41,0.46,4.48,0.53,1.16,0.33,0.73,1.2,663
Uriah Hall,18,11,182.88,83.9,200.66,1.0,39.0,3.23,0.48,3.85,0.54,0.54,0.38,0.64,0.1,2344
Jessica Eye,15,11,167.64,56.7,167.64,1.0,37.0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5,1098
Alan Baudot,8,3,190.5,110.2,200.66,1.0,36.0,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0,35
Raulian Paiva,21,5,172.72,61.2,175.26,1.0,28.0,4.14,0.42,5.01,0.48,0.65,0.23,0.77,0.2,1922
Tony Kelley,8,3,175.26,61.2,177.8,3.0,37.0,5.55,0.47,4.85,0.45,0.0,0.0,0.52,1.4,2308
Danny Chavez,11,5,172.72,65.8,170.18,1.0,37.0,2.86,0.38,3.83,0.5,1.95,0.6,0.87,0.0,560
Gloria de Paula,6,5,165.1,52.2,170.18,1.0,28.0,4.89,0.53,3.77,0.66,0.74,0.37,0.65,0.5,859
Eddie Wineland,24,16,170.18,61.2,175.26,1.0,39.0,3.4,0.29,3.76,0.68,0.34,0.33,0.86,0.1,700
Deron Winn,7,3,167.64,83.9,177.8,1.0,34.0,4.55,0.44,6.21,0.46,4.28,0.52,0.4,0.0,630
Joanna Jedrzejczyk,16,5,167.64,52.2,165.1,1.0,36.0,6.28,0.48,3.25,0.62,0.27,0.62,0.8,0.1,1122
Ramazan Emeev,20,6,177.8,77.1,193.04,2.0,36.0,2.53,0.45,2.14,0.65,2.37,0.29,0.66,0.7,1902
Poliana Botelho,8,5,172.72,56.7,170.18,1.0,35.0,2.9,0.58,2.8,0.54,0.85,0.57,0.76,0.0,1884
Zarrukh Adashev,4,4,165.1,56.7,165.1,2.0,31.0,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,2463
Askar Mozharov,19,13,190.5,93.0,187.96,1.0,29.0,0.43,0.18,4.07,0.13,0.0,0.0,0.33,0.0,192
Felice Herrig,14,10,162.56,52.2,165.1,1.0,39.0,3.84,0.37,5.19,0.48,1.08,0.28,0.75,0.8,768
Alex Da Silva,21,4,172.72,70.3,185.42,1.0,28.0,2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3,62
Niklas Stolze,12,6,185.42,70.3,187.96,3.0,31.0,2.12,0.48,2.25,0.49,0.66,1.0,0.55,0.7,1789
Jeff Molina,11,2,167.64,56.7,175.26,1.0,26.0,7.25,0.48,5.04,0.55,0.0,0.0,0.66,0.0,1067
Andreas Michailidis,13,6,182.88,77.1,193.04,1.0,35.0,2.9,0.51,3.57,0.44,1.12,0.27,0.5,0.0,130
Felipe Colares,10,4,172.72,65.8,175.26,1.0,29.0,2.17,0.45,4.65,0.36,1.88,0.24,0.43,0.5,772
Aleksandar Rakic,14,3,193.04,93.0,198.12,1.0,32.0,4.01,0.5,2.3,0.53,0.82,0.25,0.9,0.2,51
Louis Smolka,17,9,175.26,61.2,172.72,1.0,32.0,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,1464
Frank Camacho,22,10,177.8,70.3,185.42,1.0,34.0,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0,795
